balance,housing,duration,campaign,previous,response,job,contacted_cellphone,was_p_contacted,salary_bin,day_bin,age_bin,edu_num
779.0,1,164.0,1.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,3
23.0,1,160.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,18 to 33 years,1
50.0,1,342.0,1.0,0,0,services,0,0,60k-80k,1 to 9,18 to 33 years,2
0.0,1,181.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,33 to 48 years,1
-372.0,1,172.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
255.0,1,296.0,1.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
113.0,1,127.0,1.0,0,0,entrepreneur,0,0,100k+,1 to 9,48 to 63 years,2
-246.0,1,255.0,2.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,2
265.0,1,348.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
839.0,0,225.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,2
378.0,1,230.0,1.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,3
39.0,1,208.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,48 to 63 years,2
0.0,1,226.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,2
3444.5,1,336.0,1.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,3
63.0,1,242.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,2
-7.0,1,365.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,18 to 33 years,2
-3.0,0,657.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,2
506.0,1,577.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
0.0,1,137.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
2586.0,1,160.0,1.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,2
49.0,1,180.0,2.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,2
104.0,1,22.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
529.0,1,657.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,2
96.0,1,616.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,3
-171.0,1,242.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,1
-364.0,1,355.0,1.0,0,0,self-employed,0,0,20k-60k,1 to 9,48 to 63 years,3
0.0,1,225.0,2.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
0.0,0,160.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,2
0.0,1,363.0,1.0,0,0,management,0,0,80k-100k,1 to 9,18 to 33 years,3
1291.0,1,266.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,2
-244.0,1,253.0,1.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
0.0,1,179.0,1.0,0,0,management,0,0,80k-100k,1 to 9,18 to 33 years,3
-76.0,1,657.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
-103.0,1,145.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,18 to 33 years,2
243.0,0,174.0,1.0,0,0,entrepreneur,0,0,100k+,1 to 9,33 to 48 years,3
424.0,1,104.0,1.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
306.0,1,13.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,1
24.0,1,185.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
179.0,1,657.0,1.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,1
0.0,1,138.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,18 to 33 years,3
989.0,1,657.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,2
249.0,1,164.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
790.0,1,391.0,1.0,0,0,services,0,0,60k-80k,1 to 9,18 to 33 years,2
154.0,1,357.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,2
3444.5,1,91.0,1.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,3
100.0,0,528.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,3
59.0,1,273.0,1.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,3
1205.0,1,158.0,2.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,2
3444.5,1,177.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
3444.5,1,258.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,2
25.0,1,172.0,1.0,0,0,services,0,0,60k-80k,1 to 9,18 to 33 years,2
282.0,1,154.0,1.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,2
23.0,1,291.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
1937.0,1,181.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
384.0,1,176.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,2
582.0,0,211.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
91.0,0,349.0,1.0,0,0,services,0,0,60k-80k,1 to 9,48 to 63 years,2
0.0,1,272.0,1.0,0,0,services,0,0,60k-80k,1 to 9,48 to 63 years,2
1.0,1,208.0,1.0,0,0,services,0,0,60k-80k,1 to 9,48 to 63 years,2
206.0,1,193.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
164.0,0,212.0,1.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,2
690.0,1,20.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
2343.0,1,657.0,1.0,0,1,admin.,0,0,20k-60k,1 to 9,48 to 63 years,2
137.0,1,246.0,1.0,0,0,self-employed,0,0,20k-60k,1 to 9,33 to 48 years,3
173.0,1,529.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
45.0,0,657.0,1.0,0,1,admin.,0,0,20k-60k,1 to 9,48 to 63 years,2
1270.0,1,657.0,1.0,0,1,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
16.0,1,188.0,2.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,2
486.0,1,180.0,2.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,2
50.0,0,48.0,1.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,2
152.0,1,213.0,2.0,0,0,technician,0,0,20k-60k,1 to 9,18 to 33 years,2
290.0,1,583.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,48 to 63 years,2
54.0,1,221.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,2
-37.0,0,173.0,1.0,0,0,entrepreneur,0,0,100k+,1 to 9,48 to 63 years,2
101.0,1,426.0,1.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
383.0,0,287.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,2
81.0,1,101.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,3
0.0,1,203.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
229.0,1,197.0,1.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
-674.0,1,257.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
90.0,0,124.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
128.0,1,229.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
179.0,1,55.0,3.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
0.0,1,400.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,18 to 33 years,3
54.0,1,197.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
151.0,1,190.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,3
61.0,0,21.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
30.0,1,514.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,2
523.0,1,657.0,2.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
31.0,1,194.0,1.0,0,0,services,0,0,60k-80k,1 to 9,18 to 33 years,2
79.0,0,144.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
-34.0,1,212.0,2.0,0,0,self-employed,0,0,20k-60k,1 to 9,48 to 63 years,1
448.0,1,286.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,1
81.0,1,107.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,1
144.0,1,247.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
351.0,1,518.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
-67.0,1,364.0,1.0,0,0,management,0,0,80k-100k,1 to 9,18 to 33 years,3
262.0,0,178.0,1.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,3
0.0,0,98.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,1
56.0,1,439.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,2
26.0,1,79.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,2
3.0,1,120.0,3.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
41.0,1,127.0,2.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,2
7.0,0,175.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,3
105.0,1,262.0,2.0,0,0,technician,0,0,20k-60k,1 to 9,18 to 33 years,2
818.0,1,61.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,18 to 33 years,2
-16.0,1,78.0,1.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,2
0.0,1,143.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,18 to 33 years,2
2476.0,1,579.0,1.0,0,1,services,0,0,60k-80k,1 to 9,48 to 63 years,2
1185.0,0,657.0,1.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,2
217.0,1,345.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,18 to 33 years,2
1685.0,1,185.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
802.0,1,100.0,2.0,0,0,admin.,0,0,20k-60k,1 to 9,48 to 63 years,2
0.0,1,125.0,2.0,0,0,unemployed,0,0,<=20k,1 to 9,18 to 33 years,3
94.0,1,193.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,18 to 33 years,2
0.0,1,136.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,18 to 33 years,2
0.0,0,73.0,1.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,3
517.0,1,528.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,18 to 33 years,2
265.0,1,541.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
947.0,1,163.0,1.0,0,0,housemaid,0,0,<=20k,1 to 9,48 to 63 years,1
3.0,1,301.0,1.0,0,0,self-employed,0,0,20k-60k,1 to 9,33 to 48 years,2
42.0,0,46.0,1.0,0,0,unemployed,0,0,<=20k,1 to 9,48 to 63 years,3
37.0,1,204.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
57.0,1,98.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,2
22.0,1,71.0,1.0,0,0,services,0,0,60k-80k,1 to 9,18 to 33 years,2
8.0,1,157.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
293.0,1,243.0,1.0,0,0,unemployed,0,0,<=20k,1 to 9,33 to 48 years,2
3.0,1,186.0,2.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,1
348.0,1,579.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
-19.0,1,163.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,2
0.0,1,610.0,2.0,0,0,student,0,0,<=20k,1 to 9,18 to 33 years,2
-4.0,1,657.0,1.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
18.0,1,85.0,1.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,2
139.0,0,114.0,2.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,1
0.0,1,114.0,2.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,2
1883.0,1,57.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,2
216.0,1,238.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,2
782.0,1,93.0,3.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,2
904.0,1,128.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
1705.0,1,107.0,1.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,3
47.0,1,181.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,18 to 33 years,3
176.0,1,303.0,2.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,2
1225.0,1,558.0,5.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
86.0,1,270.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
82.0,1,228.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,18 to 33 years,2
271.0,1,99.0,1.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,3
1378.0,1,240.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,2
184.0,0,657.0,2.0,0,1,admin.,0,0,20k-60k,1 to 9,48 to 63 years,3
0.0,0,233.0,3.0,0,0,blue-collar,0,0,20k-60k,1 to 9,48 to 63 years,1
0.0,1,657.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
1357.0,1,250.0,1.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,2
19.0,1,252.0,1.0,0,0,entrepreneur,0,0,100k+,1 to 9,48 to 63 years,2
434.0,0,138.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,33 to 48 years,1
92.0,1,130.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,48 to 63 years,2
1151.0,1,412.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,48 to 63 years,2
41.0,1,179.0,2.0,0,0,unemployed,0,0,<=20k,1 to 9,33 to 48 years,2
51.0,1,19.0,2.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
214.0,1,458.0,2.0,0,0,services,0,0,60k-80k,1 to 9,48 to 63 years,2
1161.0,1,657.0,1.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,2
37.0,1,313.0,1.0,0,0,services,0,0,60k-80k,1 to 9,18 to 33 years,3
787.0,1,657.0,2.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
59.0,1,657.0,1.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,2
253.0,1,416.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
211.0,1,146.0,2.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,3
235.0,1,167.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,1
3444.5,1,315.0,1.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,3
3444.5,0,140.0,1.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,2
53.0,1,346.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
0.0,1,562.0,1.0,0,0,management,0,0,80k-100k,1 to 9,18 to 33 years,3
2127.0,1,172.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,2
377.0,1,217.0,1.0,0,0,management,0,0,80k-100k,1 to 9,18 to 33 years,3
73.0,1,142.0,2.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,3
445.0,1,67.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
243.0,1,291.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
307.0,1,309.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,18 to 33 years,2
155.0,1,248.0,1.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,2
173.0,0,98.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,3
400.0,1,256.0,1.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
1428.0,1,82.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
219.0,1,577.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
7.0,1,286.0,1.0,0,0,self-employed,0,0,20k-60k,1 to 9,33 to 48 years,3
575.0,1,477.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
298.0,1,611.0,2.0,0,0,student,0,0,20k-60k,1 to 9,33 to 48 years,2
0.0,1,471.0,1.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,2
3444.5,1,381.0,2.0,0,0,services,0,0,60k-80k,1 to 9,48 to 63 years,2
176.0,1,42.0,1.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
517.0,1,251.0,1.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
257.0,1,408.0,1.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,1
56.0,1,215.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,33 to 48 years,2
-390.0,1,287.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
330.0,1,216.0,2.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,2
195.0,0,366.0,2.0,0,0,housemaid,0,0,<=20k,1 to 9,48 to 63 years,1
301.0,1,210.0,1.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,2
-41.0,1,288.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
483.0,1,168.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,3
13.0,0,410.0,3.0,0,0,unemployed,0,0,<=20k,1 to 9,48 to 63 years,3
965.0,0,177.0,1.0,0,0,housemaid,0,0,<=20k,1 to 9,33 to 48 years,1
378.0,1,127.0,2.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
219.0,1,357.0,1.0,0,0,unemployed,0,0,<=20k,1 to 9,33 to 48 years,2
324.0,1,175.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,18 to 33 years,1
-69.0,1,300.0,1.0,0,0,entrepreneur,0,0,100k+,1 to 9,33 to 48 years,2
0.0,0,136.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,2
205.0,1,657.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
278.0,1,125.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,1
1065.0,1,213.0,3.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,2
34.0,1,27.0,1.0,0,0,management,0,0,80k-100k,1 to 9,18 to 33 years,3
1033.0,0,238.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,3
1467.0,1,124.0,1.0,0,0,services,0,0,60k-80k,1 to 9,48 to 63 years,2
-12.0,1,18.0,1.0,0,0,blue-collar,0,0,20k-60k,1 to 9,33 to 48 years,1
388.0,1,657.0,2.0,0,0,services,0,0,60k-80k,1 to 9,18 to 33 years,2
294.0,1,657.0,2.0,0,0,entrepreneur,0,0,100k+,1 to 9,48 to 63 years,2
1827.0,0,121.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,3
627.0,1,247.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
25.0,1,40.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,1
315.0,1,181.0,2.0,0,0,admin.,0,0,20k-60k,1 to 9,48 to 63 years,2
0.0,1,79.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,1
66.0,1,206.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
-9.0,1,389.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
349.0,1,127.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
100.0,1,657.0,1.0,0,0,entrepreneur,0,0,100k+,1 to 9,33 to 48 years,3
0.0,0,151.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
434.0,1,117.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
3237.0,1,232.0,3.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,3
275.0,0,408.0,2.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
0.0,1,179.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,18 to 33 years,2
207.0,1,39.0,1.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
483.0,1,282.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
2248.0,1,657.0,2.0,0,0,services,0,0,60k-80k,1 to 9,48 to 63 years,2
428.0,1,50.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,48 to 63 years,2
0.0,1,181.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,2
0.0,1,142.0,1.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,2
140.0,1,227.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,18 to 33 years,2
297.0,1,119.0,1.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,3
279.0,1,361.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,1
901.0,1,73.0,3.0,0,0,entrepreneur,0,0,20k-60k,1 to 9,48 to 63 years,2
2573.0,1,67.0,2.0,0,0,technician,0,0,20k-60k,1 to 9,18 to 33 years,2
143.0,1,350.0,1.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,2
475.0,1,332.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,2
70.0,1,611.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,2
318.0,1,113.0,2.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
275.0,1,132.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
742.0,1,58.0,3.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
236.0,1,151.0,1.0,0,0,entrepreneur,0,0,100k+,1 to 9,33 to 48 years,1
25.0,1,89.0,2.0,0,0,student,0,0,<=20k,1 to 9,18 to 33 years,3
600.0,1,152.0,1.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
-349.0,1,611.0,2.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
183.0,1,110.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,1
0.0,1,463.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,1
0.0,1,562.0,2.0,0,1,management,0,0,80k-100k,1 to 9,33 to 48 years,3
0.0,1,657.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,1
1078.0,1,10.0,4.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,2
155.0,0,118.0,3.0,0,0,entrepreneur,0,0,100k+,1 to 9,48 to 63 years,2
190.0,1,92.0,2.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
319.0,1,143.0,3.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,2
-185.0,1,189.0,3.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,2
47.0,0,234.0,2.0,0,0,services,0,0,60k-80k,1 to 9,48 to 63 years,2
570.0,1,75.0,2.0,0,0,services,0,0,60k-80k,1 to 9,33 to 48 years,2
19.0,0,189.0,2.0,0,0,self-employed,0,0,20k-60k,1 to 9,33 to 48 years,3
61.0,1,621.0,3.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
-62.0,1,55.0,2.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
258.0,0,310.0,4.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,3
76.0,1,156.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
0.0,1,5.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,18 to 33 years,2
352.0,1,225.0,2.0,0,0,admin.,0,0,20k-60k,1 to 9,18 to 33 years,2
368.0,1,125.0,2.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
339.0,1,2.0,3.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,3
1331.0,1,286.0,2.0,0,0,blue-collar,0,0,<=20k,1 to 9,18 to 33 years,2
672.0,1,164.0,2.0,0,0,self-employed,0,0,20k-60k,1 to 9,33 to 48 years,2
58.0,1,98.0,2.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
447.0,1,657.0,2.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,2
423.0,1,226.0,3.0,0,0,student,0,0,<=20k,1 to 9,18 to 33 years,2
